Watching for file changes with StatReloader
INFO 2021-08-31 21:25:42,434 basehttp 134970 139984815642176 "GET /static/store/img/SK-A-4885.jpg HTTP/1.1" 200 28556
INFO 2021-08-31 21:25:42,435 basehttp 134970 139984594007616 "GET /static/store/img/SK-A-4674.jpg HTTP/1.1" 200 71574
INFO 2021-08-31 21:25:42,436 basehttp 134970 139984594007616 "GET /static/store/img/SK-A-3477.jpg HTTP/1.1" 200 53873
INFO 2021-08-31 21:25:42,443 basehttp 134970 139984585614912 "GET /static/store/img/SK-A-3137.jpg HTTP/1.1" 200 28315
INFO 2021-08-31 21:25:42,444 basehttp 134970 139984568829504 "GET /static/store/img/SK-A-4096.jpg HTTP/1.1" 200 78173
INFO 2021-08-31 21:25:42,444 basehttp 134970 139984577222208 "GET /static/store/img/SK-A-4833.jpg HTTP/1.1" 200 48784
INFO 2021-08-31 21:25:42,445 basehttp 134970 139984577222208 "GET /static/store/img/SK-A-3276.jpg HTTP/1.1" 200 34350
INFO 2021-08-31 21:25:42,446 basehttp 134970 139984806463040 "GET /static/store/img/SK-A-4119.jpg HTTP/1.1" 200 32716
INFO 2021-08-31 21:25:42,447 basehttp 134970 139984806463040 "GET /static/store/img/SK-C-1747.jpg HTTP/1.1" 200 51960
INFO 2021-08-31 21:25:42,479 basehttp 134970 139984815642176 "GET /static/store/img/SK-A-91.jpg HTTP/1.1" 200 59983
INFO 2021-08-31 21:25:42,480 basehttp 134970 139984594007616 "GET /static/store/img/SK-A-1935.jpg HTTP/1.1" 200 48128
INFO 2021-08-31 21:25:42,488 basehttp 134970 139984585614912 "GET /static/store/img/SK-A-4019.jpg HTTP/1.1" 200 52621
INFO 2021-08-31 21:25:42,488 basehttp 134970 139984577222208 "GET /static/store/img/SK-C-251.jpg HTTP/1.1" 200 41578
INFO 2021-08-31 21:25:42,489 basehttp 134970 139984568829504 "GET /static/store/img/SK-A-2344.jpg HTTP/1.1" 200 52967
INFO 2021-08-31 21:25:42,491 basehttp 134970 139984806463040 "GET /static/store/img/SK-A-1595.jpg HTTP/1.1" 200 42500
INFO 2021-08-31 21:25:42,492 basehttp 134970 139984568829504 "GET /static/store/img/SK-A-2860.jpg HTTP/1.1" 200 73055
INFO 2021-08-31 21:25:42,523 basehttp 134970 139984594007616 "GET /static/store/img/SK-A-2351.jpg HTTP/1.1" 200 42727
INFO 2021-08-31 21:25:42,524 basehttp 134970 139984594007616 "GET /static/store/img/SK-A-3298.jpg HTTP/1.1" 200 31546
